datetime,temp,precipprob,windgust,windspeed,visibility,uvindex,windchill (walk),windchill (bike)
05:00:00,5.1,0.0,24.5,15.5,10.0,0.0,1.8,1.8
06:00:00,5.1,0.0,24.1,15.5,10.0,0.0,1.8,1.8
07:00:00,5.1,0.0,25.6,14.8,10.0,0.0,1.9,1.9
08:00:00,6.1,0.0,27.7,18.5,10.0,1.0,2.6,2.63
09:00:00,7.3,0.0,31.0,18.3,10.0,3.0,4.2,4.16
10:00:00,8.6,0.0,31.0,19.0,10.0,5.0,5.7,5.71
11:00:00,10.2,0.0,31.3,15.8,10.0,6.0,10.2,8.07
12:00:00,11.6,0.0,30.2,18.1,10.0,6.0,11.6,9.57
13:00:00,12.4,0.0,27.7,17.2,10.0,4.0,12.4,10.65
14:00:00,13.6,0.0,25.6,16.0,10.0,4.0,13.6,12.26
15:00:00,13.8,0.0,26.6,15.2,10.0,4.0,13.8,12.58
16:00:00,14.7,0.0,25.9,11.2,24.1,3.0,14.7,14.1
17:00:00,14.9,0.0,22.0,10.8,24.1,1.0,14.9,14.39
18:00:00,14.6,0.0,21.2,9.4,24.1,1.0,14.6,14.21
19:00:00,13.5,0.0,20.2,10.8,24.1,1.0,13.5,12.7
20:00:00,12.1,6.4,20.2,9.7,24.1,0.0,12.1,11.19
